year,level_1,level_2,level_3,level_4,value
2015,Males,60 - 64,Yishun- Total,Nee Soon,30
2015,Males,60 - 64,Yishun- Total,Northland,960
2015,Males,60 - 64,Yishun- Total,Springleaf,150
2015,Males,60 - 64,Yishun- Total,Yishun Central,60
2015,Males,60 - 64,Yishun- Total,Yishun East,1310
2015,Males,60 - 64,Yishun- Total,Yishun South,1330
2015,Males,60 - 64,Yishun- Total,Yishun West,1990
2015,Males,65 - 69,Ang Mo Kio- Total,Ang Mo Kio Town Centre,120
2015,Males,65 - 69,Ang Mo Kio- Total,Cheng San,940
2015,Males,65 - 69,Ang Mo Kio- Total,Chong Boon,900
2015,Males,65 - 69,Ang Mo Kio- Total,Kebun Bahru,740
2015,Males,65 - 69,Ang Mo Kio- Total,Sembawang Hills,190
2015,Males,65 - 69,Ang Mo Kio- Total,Shangri-La,500
2015,Males,65 - 69,Ang Mo Kio- Total,Tagore,210
2015,Males,65 - 69,Ang Mo Kio- Total,Townsville,720
2015,Males,65 - 69,Ang Mo Kio- Total,Yio Chu Kang East,120
2015,Males,65 - 69,Ang Mo Kio- Total,Yio Chu Kang West,800
2015,Males,65 - 69,Bedok- Total,Bayshore,150
2015,Males,65 - 69,Bedok- Total,Bedok North,2540
2015,Males,65 - 69,Bedok- Total,Bedok Reservoir,590
2015,Males,65 - 69,Bedok- Total,Bedok South,1490
2015,Males,65 - 69,Bedok- Total,Frankel,870
2015,Males,65 - 69,Bedok- Total,Kaki Bukit,1150
2015,Males,65 - 69,Bedok- Total,Kembangan,1140
2015,Males,65 - 69,Bedok- Total,Siglap,240
2015,Males,65 - 69,Bishan- Total,Bishan East,780
2015,Males,65 - 69,Bishan- Total,Marymount,690
2015,Males,65 - 69,Bishan- Total,Upper Thomson,870
2015,Males,65 - 69,Bukit Batok- Total,Bukit Batok Central,600
2015,Males,65 - 69,Bukit Batok- Total,Bukit Batok East,340
2015,Males,65 - 69,Bukit Batok- Total,Bukit Batok South,240
2015,Males,65 - 69,Bukit Batok- Total,Bukit Batok West,360
2015,Males,65 - 69,Bukit Batok- Total,Gombak,220
2015,Males,65 - 69,Bukit Batok- Total,Guilin,240
2015,Males,65 - 69,Bukit Batok- Total,Hillview,390
2015,Males,65 - 69,Bukit Batok- Total,Hong Kah North,620
2015,Males,65 - 69,Bukit Merah- Total,Alexandra Hill,550
2015,Males,65 - 69,Bukit Merah- Total,Alexandra North,10
2015,Males,65 - 69,Bukit Merah- Total,Bukit Ho Swee,510
2015,Males,65 - 69,Bukit Merah- Total,Bukit Merah,40
2015,Males,65 - 69,Bukit Merah- Total,Depot Road,130
2015,Males,65 - 69,Bukit Merah- Total,Everton Park,270
2015,Males,65 - 69,Bukit Merah- Total,Henderson Hill,400
2015,Males,65 - 69,Bukit Merah- Total,Kampong Tiong Bahru,370
2015,Males,65 - 69,Bukit Merah- Total,Maritime Square,40
2015,Males,65 - 69,Bukit Merah- Total,Redhill,270
2015,Males,65 - 69,Bukit Merah- Total,Telok Blangah Drive,500
2015,Males,65 - 69,Bukit Merah- Total,Telok Blangah Rise,490
2015,Males,65 - 69,Bukit Merah- Total,Telok Blangah Way,330
2015,Males,65 - 69,Bukit Merah- Total,Tiong Bahru,320
2015,Males,65 - 69,Bukit Merah- Total,Tiong Bahru Station,370
2015,Males,65 - 69,Bukit Panjang- Total,Bangkit,520
2015,Males,65 - 69,Bukit Panjang- Total,Dairy Farm,120
2015,Males,65 - 69,Bukit Panjang- Total,Fajar,460
2015,Males,65 - 69,Bukit Panjang- Total,Jelebu,700
2015,Males,65 - 69,Bukit Panjang- Total,Nature Reserve,80
2015,Males,65 - 69,Bukit Panjang- Total,Saujana,420
2015,Males,65 - 69,Bukit Panjang- Total,Senja,330
2015,Males,65 - 69,Bukit Timah- Total,Anak Bukit,560
2015,Males,65 - 69,Bukit Timah- Total,Coronation Road,150
2015,Males,65 - 69,Bukit Timah- Total,Farrer Court,120
2015,Males,65 - 69,Bukit Timah- Total,Hillcrest,210
2015,Males,65 - 69,Bukit Timah- Total,Holland Road,210
2015,Males,65 - 69,Bukit Timah- Total,Leedon Park,200
2015,Males,65 - 69,Bukit Timah- Total,Swiss Club,130
2015,Males,65 - 69,Bukit Timah- Total,Ulu Pandan,350
2015,Males,65 - 69,Changi- Total,Changi Point,30
2015,Males,65 - 69,Changi- Total,Changi West,20
2015,Males,65 - 69,Choa Chu Kang- Total,Choa Chu Kang Central,340
2015,Males,65 - 69,Choa Chu Kang- Total,Choa Chu Kang North,450
2015,Males,65 - 69,Choa Chu Kang- Total,Keat Hong,270
2015,Males,65 - 69,Choa Chu Kang- Total,Peng Siang,600
2015,Males,65 - 69,Choa Chu Kang- Total,Teck Whye,600
2015,Males,65 - 69,Choa Chu Kang- Total,Yew Tee,580
2015,Males,65 - 69,Clementi- Total,Clementi Central,400
2015,Males,65 - 69,Clementi- Total,Clementi North,1010
2015,Males,65 - 69,Clementi- Total,Clementi West,490
2015,Males,65 - 69,Clementi- Total,Clementi Woods,520
2015,Males,65 - 69,Clementi- Total,Faber,100
2015,Males,65 - 69,Clementi- Total,Sunset Way,230
2015,Males,65 - 69,Clementi- Total,West Coast,150
2015,Males,65 - 69,Downtown Core- Total,Bugis,100
2015,Males,65 - 69,Downtown Core- Total,Tanjong Pagar,10
2015,Males,65 - 69,Geylang- Total,Aljunied,1120
2015,Males,65 - 69,Geylang- Total,Geylang East,980
2015,Males,65 - 69,Geylang- Total,Kampong Ubi,310
2015,Males,65 - 69,Geylang- Total,Macpherson,730
2015,Males,65 - 69,Hougang- Total,Hougang Central,110
2015,Males,65 - 69,Hougang- Total,Hougang East,450
2015,Males,65 - 69,Hougang- Total,Hougang West,1290
2015,Males,65 - 69,Hougang- Total,Kangkar,630
2015,Males,65 - 69,Hougang- Total,Kovan,650
2015,Males,65 - 69,Hougang- Total,Lorong Ah Soo,930
2015,Males,65 - 69,Hougang- Total,Tai Seng,370
2015,Males,65 - 69,Hougang- Total,Trafalgar,1000
2015,Males,65 - 69,Jurong East- Total,Lakeside,40
2015,Males,65 - 69,Jurong East- Total,Teban Gardens,620
2015,Males,65 - 69,Jurong East- Total,Toh Guan,350
2015,Males,65 - 69,Jurong East- Total,Yuhua East,800
2015,Males,65 - 69,Jurong East- Total,Yuhua West,580
2015,Males,65 - 69,Jurong West- Total,Boon Lay Place,670
2015,Males,65 - 69,Jurong West- Total,Hong Kah,1560
2015,Males,65 - 69,Jurong West- Total,Jurong West Central,1160
2015,Males,65 - 69,Jurong West- Total,Taman Jurong,740
2015,Males,65 - 69,Jurong West- Total,Wenya,110
2015,Males,65 - 69,Jurong West- Total,Yunnan,1380
2015,Males,65 - 69,Kallang- Total,Bendemeer,950
2015,Males,65 - 69,Kallang- Total,Boon Keng,300
2015,Males,65 - 69,Kallang- Total,Crawford,470
2015,Males,65 - 69,Kallang- Total,Geylang Bahru,370
2015,Males,65 - 69,Kallang- Total,Kampong Bugis,30
2015,Males,65 - 69,Kallang- Total,Kampong Java,340
2015,Males,65 - 69,Kallang- Total,Lavender,370
2015,Males,65 - 69,Kallang- Total,Tanjong Rhu,210
2015,Males,65 - 69,Mandai- Total,Mandai Estate,40
2015,Males,65 - 69,Marine Parade- Total,Katong,210
2015,Males,65 - 69,Marine Parade- Total,Marine Parade,750
2015,Males,65 - 69,Marine Parade- Total,Mountbatten,290
2015,Males,65 - 69,Museum- Total,Fort Canning,10
2015,Males,65 - 69,Newton- Total,Cairnhill,90
2015,Males,65 - 69,Newton- Total,Goodwood Park,20
2015,Males,65 - 69,Newton- Total,Monk's Hill,20
2015,Males,65 - 69,Newton- Total,Orange Grove,60
2015,Males,65 - 69,Novena- Total,Balestier,830
2015,Males,65 - 69,Novena- Total,Dunearn,100
2015,Males,65 - 69,Novena- Total,Malcolm,70
2015,Males,65 - 69,Novena- Total,Moulmein,140
2015,Males,65 - 69,Novena- Total,Mount Pleasant,20
2015,Males,65 - 69,Orchard- Total,Boulevard,10
2015,Males,65 - 69,Orchard- Total,Somerset,10
2015,Males,65 - 69,Orchard- Total,Tanglin,10
2015,Males,65 - 69,Outram- Total,China Square,70
2015,Males,65 - 69,Outram- Total,Chinatown,280
2015,Males,65 - 69,Outram- Total,Pearl's Hill,390
2015,Males,65 - 69,Outram- Total,People's Park,10
2015,Males,65 - 69,Pasir Ris- Total,Flora Drive,230
2015,Males,65 - 69,Pasir Ris- Total,Loyang East,50
2015,Males,65 - 69,Pasir Ris- Total,Loyang West,10
2015,Males,65 - 69,Pasir Ris- Total,Pasir Ris Central,380
2015,Males,65 - 69,Pasir Ris- Total,Pasir Ris Drive,1050
2015,Males,65 - 69,Pasir Ris- Total,Pasir Ris Park,20
2015,Males,65 - 69,Pasir Ris- Total,Pasir Ris West,470
2015,Males,65 - 69,Punggol- Total,Matilda,360
2015,Males,65 - 69,Punggol- Total,Northshore,10
2015,Males,65 - 69,Punggol- Total,Punggol Field,670
2015,Males,65 - 69,Punggol- Total,Punggol Town Centre,70
2015,Males,65 - 69,Punggol- Total,Waterway East,320
2015,Males,65 - 69,Queenstown- Total,Commonwealth,200
2015,Males,65 - 69,Queenstown- Total,Dover,310
2015,Males,65 - 69,Queenstown- Total,Ghim Moh,340
2015,Males,65 - 69,Queenstown- Total,Holland Drive,440
2015,Males,65 - 69,Queenstown- Total,Kent Ridge,40
2015,Males,65 - 69,Queenstown- Total,Margaret Drive,260
2015,Males,65 - 69,Queenstown- Total,Mei Chin,410
2015,Males,65 - 69,Queenstown- Total,One North,10
2015,Males,65 - 69,Queenstown- Total,Pasir Panjang 1,100
2015,Males,65 - 69,Queenstown- Total,Pasir Panjang 2,110
2015,Males,65 - 69,Queenstown- Total,Port,10
2015,Males,65 - 69,Queenstown- Total,Queensway,10
2015,Males,65 - 69,Queenstown- Total,Tanglin Halt,340
2015,Males,65 - 69,River Valley- Total,Institution Hill,70
2015,Males,65 - 69,River Valley- Total,Leonie Hill,60
2015,Males,65 - 69,River Valley- Total,One Tree Hill,50
2015,Males,65 - 69,River Valley- Total,Oxley,50
2015,Males,65 - 69,Rochor- Total,Bencoolen,40
2015,Males,65 - 69,Rochor- Total,Farrer Park,70
2015,Males,65 - 69,Rochor- Total,Little India,130
2015,Males,65 - 69,Rochor- Total,Mount Emily,20
2015,Males,65 - 69,Rochor- Total,Selegie,10
2015,Males,65 - 69,Rochor- Total,Sungei Road,80
2015,Males,65 - 69,Rochor- Total,Victoria,70
2015,Males,65 - 69,Sembawang- Total,Admiralty,190
2015,Males,65 - 69,Sembawang- Total,Sembawang Central,380
2015,Males,65 - 69,Sembawang- Total,Sembawang North,360
2015,Males,65 - 69,Sembawang- Total,Sembawang Springs,100
2015,Males,65 - 69,Sembawang- Total,Sembawang Straits,40
2015,Males,65 - 69,Sengkang- Total,Anchorvale,530
2015,Males,65 - 69,Sengkang- Total,Compassvale,210
2015,Males,65 - 69,Sengkang- Total,Fernvale,460
2015,Males,65 - 69,Sengkang- Total,Rivervale,1070
2015,Males,65 - 69,Sengkang- Total,Sengkang Town Centre,820
2015,Males,65 - 69,Serangoon- Total,Lorong Chuan,180
2015,Males,65 - 69,Serangoon- Total,Seletar Hills,400
2015,Males,65 - 69,Serangoon- Total,Serangoon Central,760
2015,Males,65 - 69,Serangoon- Total,Serangoon Garden,1180
2015,Males,65 - 69,Serangoon- Total,Serangoon North,370
2015,Males,65 - 69,Serangoon- Total,Upper Paya Lebar,430
2015,Males,65 - 69,Singapore River- Total,Boat Quay,10
2015,Males,65 - 69,Singapore River- Total,Robertson Quay,40
2015,Males,65 - 69,Southern Islands- Total,Sentosa,20
2015,Males,65 - 69,Sungei Kadut- Total,Gali Batu,10
2015,Males,65 - 69,Sungei Kadut- Total,Turf Club,30
2015,Males,65 - 69,Tampines- Total,Simei,940
2015,Males,65 - 69,Tampines- Total,Tampines East,3070
2015,Males,65 - 69,Tampines- Total,Tampines West,1700
2015,Males,65 - 69,Tampines- Total,Xilin,40
2015,Males,65 - 69,Tanglin- Total,Chatsworth,120
2015,Males,65 - 69,Tanglin- Total,Nassim,220
2015,Males,65 - 69,Tanglin- Total,Ridout,50
2015,Males,65 - 69,Tanglin- Total,Tyersall,70
2015,Males,65 - 69,Toa Payoh- Total,Boon Teck,430
2015,Males,65 - 69,Toa Payoh- Total,Braddell,280
2015,Males,65 - 69,Toa Payoh- Total,Joo Seng,190
2015,Males,65 - 69,Toa Payoh- Total,Kim Keat,230
2015,Males,65 - 69,Toa Payoh- Total,Lorong 8 Toa Payoh,270
2015,Males,65 - 69,Toa Payoh- Total,Pei Chun,290
2015,Males,65 - 69,Toa Payoh- Total,Potong Pasir,420
2015,Males,65 - 69,Toa Payoh- Total,Sennett,160
2015,Males,65 - 69,Toa Payoh- Total,Toa Payoh Central,650
2015,Males,65 - 69,Toa Payoh- Total,Toa Payoh West,380
2015,Males,65 - 69,Toa Payoh- Total,Woodleigh,50
2015,Males,65 - 69,Western Water Catchment- Total,Western Water Catchment,10
2015,Males,65 - 69,Woodlands- Total,Midview,470
2015,Males,65 - 69,Woodlands- Total,North Coast,400
2015,Males,65 - 69,Woodlands- Total,Woodgrove,490
2015,Males,65 - 69,Woodlands- Total,Woodlands East,1130
2015,Males,65 - 69,Woodlands- Total,Woodlands South,510
2015,Males,65 - 69,Woodlands- Total,Woodlands West,760
2015,Males,65 - 69,Yishun- Total,Khatib,280
2015,Males,65 - 69,Yishun- Total,Lower Seletar,20
2015,Males,65 - 69,Yishun- Total,Nee Soon,30
2015,Males,65 - 69,Yishun- Total,Northland,630
2015,Males,65 - 69,Yishun- Total,Springleaf,130
2015,Males,65 - 69,Yishun- Total,Yishun Central,40
2015,Males,65 - 69,Yishun- Total,Yishun East,800
2015,Males,65 - 69,Yishun- Total,Yishun South,900
2015,Males,65 - 69,Yishun- Total,Yishun West,1260
2015,Males,70 - 74,Ang Mo Kio- Total,Ang Mo Kio Town Centre,80
2015,Males,70 - 74,Ang Mo Kio- Total,Cheng San,490
2015,Males,70 - 74,Ang Mo Kio- Total,Chong Boon,600
2015,Males,70 - 74,Ang Mo Kio- Total,Kebun Bahru,460
2015,Males,70 - 74,Ang Mo Kio- Total,Sembawang Hills,130
2015,Males,70 - 74,Ang Mo Kio- Total,Shangri-La,320
2015,Males,70 - 74,Ang Mo Kio- Total,Tagore,100
2015,Males,70 - 74,Ang Mo Kio- Total,Townsville,460
2015,Males,70 - 74,Ang Mo Kio- Total,Yio Chu Kang East,80
2015,Males,70 - 74,Ang Mo Kio- Total,Yio Chu Kang West,360
2015,Males,70 - 74,Bedok- Total,Bayshore,50
2015,Males,70 - 74,Bedok- Total,Bedok North,1400
2015,Males,70 - 74,Bedok- Total,Bedok Reservoir,300
2015,Males,70 - 74,Bedok- Total,Bedok South,890
2015,Males,70 - 74,Bedok- Total,Frankel,450
2015,Males,70 - 74,Bedok- Total,Kaki Bukit,500
2015,Males,70 - 74,Bedok- Total,Kembangan,690
2015,Males,70 - 74,Bedok- Total,Siglap,160
2015,Males,70 - 74,Bishan- Total,Bishan East,410
2015,Males,70 - 74,Bishan- Total,Marymount,360
2015,Males,70 - 74,Bishan- Total,Upper Thomson,500
2015,Males,70 - 74,Bukit Batok- Total,Bukit Batok Central,290
2015,Males,70 - 74,Bukit Batok- Total,Bukit Batok East,140
2015,Males,70 - 74,Bukit Batok- Total,Bukit Batok South,100
2015,Males,70 - 74,Bukit Batok- Total,Bukit Batok West,170
2015,Males,70 - 74,Bukit Batok- Total,Gombak,120
2015,Males,70 - 74,Bukit Batok- Total,Guilin,140
2015,Males,70 - 74,Bukit Batok- Total,Hillview,200
2015,Males,70 - 74,Bukit Batok- Total,Hong Kah North,290
2015,Males,70 - 74,Bukit Merah- Total,Alexandra Hill,260
2015,Males,70 - 74,Bukit Merah- Total,Alexandra North,10
2015,Males,70 - 74,Bukit Merah- Total,Bukit Ho Swee,340
2015,Males,70 - 74,Bukit Merah- Total,Bukit Merah,30
2015,Males,70 - 74,Bukit Merah- Total,Depot Road,80
2015,Males,70 - 74,Bukit Merah- Total,Everton Park,170
2015,Males,70 - 74,Bukit Merah- Total,Henderson Hill,310
2015,Males,70 - 74,Bukit Merah- Total,Kampong Tiong Bahru,220
2015,Males,70 - 74,Bukit Merah- Total,Maritime Square,20
2015,Males,70 - 74,Bukit Merah- Total,Redhill,170
2015,Males,70 - 74,Bukit Merah- Total,Telok Blangah Drive,310
2015,Males,70 - 74,Bukit Merah- Total,Telok Blangah Rise,320
2015,Males,70 - 74,Bukit Merah- Total,Telok Blangah Way,220
2015,Males,70 - 74,Bukit Merah- Total,Tiong Bahru,200
2015,Males,70 - 74,Bukit Merah- Total,Tiong Bahru Station,230
2015,Males,70 - 74,Bukit Panjang- Total,Bangkit,300
2015,Males,70 - 74,Bukit Panjang- Total,Dairy Farm,50
2015,Males,70 - 74,Bukit Panjang- Total,Fajar,250
2015,Males,70 - 74,Bukit Panjang- Total,Jelebu,350
2015,Males,70 - 74,Bukit Panjang- Total,Nature Reserve,40
2015,Males,70 - 74,Bukit Panjang- Total,Saujana,160
2015,Males,70 - 74,Bukit Panjang- Total,Senja,150
2015,Males,70 - 74,Bukit Timah- Total,Anak Bukit,340
2015,Males,70 - 74,Bukit Timah- Total,Coronation Road,110
2015,Males,70 - 74,Bukit Timah- Total,Farrer Court,70
2015,Males,70 - 74,Bukit Timah- Total,Hillcrest,140
2015,Males,70 - 74,Bukit Timah- Total,Holland Road,120
2015,Males,70 - 74,Bukit Timah- Total,Leedon Park,100
2015,Males,70 - 74,Bukit Timah- Total,Swiss Club,80
2015,Males,70 - 74,Bukit Timah- Total,Ulu Pandan,180
2015,Males,70 - 74,Changi- Total,Changi Point,20
2015,Males,70 - 74,Changi- Total,Changi West,10
2015,Males,70 - 74,Choa Chu Kang- Total,Choa Chu Kang Central,190
2015,Males,70 - 74,Choa Chu Kang- Total,Choa Chu Kang North,210
2015,Males,70 - 74,Choa Chu Kang- Total,Keat Hong,110
2015,Males,70 - 74,Choa Chu Kang- Total,Peng Siang,270
2015,Males,70 - 74,Choa Chu Kang- Total,Teck Whye,360
2015,Males,70 - 74,Choa Chu Kang- Total,Yew Tee,260
2015,Males,70 - 74,Clementi- Total,Clementi Central,250
2015,Males,70 - 74,Clementi- Total,Clementi North,580
2015,Males,70 - 74,Clementi- Total,Clementi West,270
2015,Males,70 - 74,Clementi- Total,Clementi Woods,280
2015,Males,70 - 74,Clementi- Total,Faber,50
2015,Males,70 - 74,Clementi- Total,Sunset Way,110
2015,Males,70 - 74,Clementi- Total,West Coast,70
2015,Males,70 - 74,Downtown Core- Total,Bugis,50
2015,Males,70 - 74,Downtown Core- Total,Central Subzone,10
2015,Males,70 - 74,Geylang- Total,Aljunied,700
2015,Males,70 - 74,Geylang- Total,Geylang East,510
2015,Males,70 - 74,Geylang- Total,Kampong Ubi,160
2015,Males,70 - 74,Geylang- Total,Macpherson,470
2015,Males,70 - 74,Hougang- Total,Hougang Central,60
2015,Males,70 - 74,Hougang- Total,Hougang East,250
2015,Males,70 - 74,Hougang- Total,Hougang West,600
2015,Males,70 - 74,Hougang- Total,Kangkar,350
2015,Males,70 - 74,Hougang- Total,Kovan,310
2015,Males,70 - 74,Hougang- Total,Lorong Ah Soo,550
2015,Males,70 - 74,Hougang- Total,Tai Seng,220
2015,Males,70 - 74,Hougang- Total,Trafalgar,480
2015,Males,70 - 74,Jurong East- Total,Lakeside,30
2015,Males,70 - 74,Jurong East- Total,Teban Gardens,330
2015,Males,70 - 74,Jurong East- Total,Toh Guan,160
2015,Males,70 - 74,Jurong East- Total,Yuhua East,400
2015,Males,70 - 74,Jurong East- Total,Yuhua West,280
2015,Males,70 - 74,Jurong West- Total,Boon Lay Place,370
2015,Males,70 - 74,Jurong West- Total,Hong Kah,750
2015,Males,70 - 74,Jurong West- Total,Jurong West Central,440
2015,Males,70 - 74,Jurong West- Total,Taman Jurong,330
2015,Males,70 - 74,Jurong West- Total,Wenya,60
2015,Males,70 - 74,Jurong West- Total,Yunnan,590
2015,Males,70 - 74,Kallang- Total,Bendemeer,580
2015,Males,70 - 74,Kallang- Total,Boon Keng,180
2015,Males,70 - 74,Kallang- Total,Crawford,310
2015,Males,70 - 74,Kallang- Total,Geylang Bahru,220
2015,Males,70 - 74,Kallang- Total,Kampong Bugis,10
2015,Males,70 - 74,Kallang- Total,Kampong Java,210
2015,Males,70 - 74,Kallang- Total,Lavender,200
2015,Males,70 - 74,Kallang- Total,Tanjong Rhu,160
2015,Males,70 - 74,Mandai- Total,Mandai Estate,30
2015,Males,70 - 74,Marine Parade- Total,Katong,140
2015,Males,70 - 74,Marine Parade- Total,Marine Parade,540
2015,Males,70 - 74,Marine Parade- Total,Mountbatten,120
2015,Males,70 - 74,Newton- Total,Cairnhill,40
2015,Males,70 - 74,Newton- Total,Goodwood Park,10
2015,Males,70 - 74,Newton- Total,Monk's Hill,10
2015,Males,70 - 74,Newton- Total,Orange Grove,30
2015,Males,70 - 74,Novena- Total,Balestier,550
2015,Males,70 - 74,Novena- Total,Dunearn,70
2015,Males,70 - 74,Novena- Total,Malcolm,40
2015,Males,70 - 74,Novena- Total,Moulmein,70
2015,Males,70 - 74,Novena- Total,Mount Pleasant,10
2015,Males,70 - 74,Orchard- Total,Boulevard,10
2015,Males,70 - 74,Outram- Total,China Square,40
2015,Males,70 - 74,Outram- Total,Chinatown,190
2015,Males,70 - 74,Outram- Total,Pearl's Hill,240
2015,Males,70 - 74,Outram- Total,People's Park,10
2015,Males,70 - 74,Pasir Ris- Total,Flora Drive,120
2015,Males,70 - 74,Pasir Ris- Total,Loyang East,30
2015,Males,70 - 74,Pasir Ris- Total,Loyang West,10
2015,Males,70 - 74,Pasir Ris- Total,Pasir Ris Central,180
2015,Males,70 - 74,Pasir Ris- Total,Pasir Ris Drive,460
2015,Males,70 - 74,Pasir Ris- Total,Pasir Ris Park,20
2015,Males,70 - 74,Pasir Ris- Total,Pasir Ris West,220
2015,Males,70 - 74,Punggol- Total,Matilda,190
2015,Males,70 - 74,Punggol- Total,Punggol Field,300
2015,Males,70 - 74,Punggol- Total,Punggol Town Centre,40
2015,Males,70 - 74,Punggol- Total,Waterway East,170
2015,Males,70 - 74,Queenstown- Total,Commonwealth,130
2015,Males,70 - 74,Queenstown- Total,Dover,190
2015,Males,70 - 74,Queenstown- Total,Ghim Moh,260
2015,Males,70 - 74,Queenstown- Total,Holland Drive,310
2015,Males,70 - 74,Queenstown- Total,Kent Ridge,20
2015,Males,70 - 74,Queenstown- Total,Margaret Drive,140
2015,Males,70 - 74,Queenstown- Total,Mei Chin,240
2015,Males,70 - 74,Queenstown- Total,Pasir Panjang 1,50
2015,Males,70 - 74,Queenstown- Total,Pasir Panjang 2,50
2015,Males,70 - 74,Queenstown- Total,Queensway,10
2015,Males,70 - 74,Queenstown- Total,Tanglin Halt,240
2015,Males,70 - 74,River Valley- Total,Institution Hill,40
2015,Males,70 - 74,River Valley- Total,Leonie Hill,20
2015,Males,70 - 74,River Valley- Total,One Tree Hill,30
2015,Males,70 - 74,River Valley- Total,Oxley,30
2015,Males,70 - 74,Rochor- Total,Bencoolen,20
2015,Males,70 - 74,Rochor- Total,Farrer Park,50
2015,Males,70 - 74,Rochor- Total,Kampong Glam,10
2015,Males,70 - 74,Rochor- Total,Little India,90
2015,Males,70 - 74,Rochor- Total,Selegie,10
2015,Males,70 - 74,Rochor- Total,Sungei Road,70
2015,Males,70 - 74,Rochor- Total,Victoria,60
2015,Males,70 - 74,Sembawang- Total,Admiralty,130
2015,Males,70 - 74,Sembawang- Total,Sembawang Central,180
2015,Males,70 - 74,Sembawang- Total,Sembawang North,170
2015,Males,70 - 74,Sembawang- Total,Sembawang Springs,70
2015,Males,70 - 74,Sembawang- Total,Sembawang Straits,20
2015,Males,70 - 74,Sengkang- Total,Anchorvale,270
2015,Males,70 - 74,Sengkang- Total,Compassvale,140
2015,Males,70 - 74,Sengkang- Total,Fernvale,260
2015,Males,70 - 74,Sengkang- Total,Rivervale,500
2015,Males,70 - 74,Sengkang- Total,Sengkang Town Centre,400
2015,Males,70 - 74,Serangoon- Total,Lorong Chuan,100
2015,Males,70 - 74,Serangoon- Total,Seletar Hills,230
2015,Males,70 - 74,Serangoon- Total,Serangoon Central,340
2015,Males,70 - 74,Serangoon- Total,Serangoon Garden,650
2015,Males,70 - 74,Serangoon- Total,Serangoon North,140
2015,Males,70 - 74,Serangoon- Total,Upper Paya Lebar,230
2015,Males,70 - 74,Singapore River- Total,Boat Quay,10
2015,Males,70 - 74,Singapore River- Total,Robertson Quay,20
2015,Males,70 - 74,Southern Islands- Total,Sentosa,10
2015,Males,70 - 74,Sungei Kadut- Total,Gali Batu,10
2015,Males,70 - 74,Sungei Kadut- Total,Turf Club,20
2015,Males,70 - 74,Tampines- Total,Simei,390
2015,Males,70 - 74,Tampines- Total,Tampines East,1360
2015,Males,70 - 74,Tampines- Total,Tampines West,760
2015,Males,70 - 74,Tampines- Total,Xilin,10
2015,Males,70 - 74,Tanglin- Total,Chatsworth,80
2015,Males,70 - 74,Tanglin- Total,Nassim,110
2015,Males,70 - 74,Tanglin- Total,Ridout,20
2015,Males,70 - 74,Tanglin- Total,Tyersall,60
2015,Males,70 - 74,Toa Payoh- Total,Boon Teck,290
2015,Males,70 - 74,Toa Payoh- Total,Braddell,200
2015,Males,70 - 74,Toa Payoh- Total,Joo Seng,130
2015,Males,70 - 74,Toa Payoh- Total,Kim Keat,140
2015,Males,70 - 74,Toa Payoh- Total,Lorong 8 Toa Payoh,180
2015,Males,70 - 74,Toa Payoh- Total,Pei Chun,210
2015,Males,70 - 74,Toa Payoh- Total,Potong Pasir,220
2015,Males,70 - 74,Toa Payoh- Total,Sennett,80
2015,Males,70 - 74,Toa Payoh- Total,Toa Payoh Central,460
2015,Males,70 - 74,Toa Payoh- Total,Toa Payoh West,290
2015,Males,70 - 74,Toa Payoh- Total,Woodleigh,20
2015,Males,70 - 74,Western Water Catchment- Total,Western Water Catchment,10
2015,Males,70 - 74,Woodlands- Total,Midview,250
2015,Males,70 - 74,Woodlands- Total,North Coast,210
2015,Males,70 - 74,Woodlands- Total,Woodgrove,210
2015,Males,70 - 74,Woodlands- Total,Woodlands East,520
2015,Males,70 - 74,Woodlands- Total,Woodlands South,250
2015,Males,70 - 74,Woodlands- Total,Woodlands West,420
2015,Males,70 - 74,Yishun- Total,Khatib,130
2015,Males,70 - 74,Yishun- Total,Lower Seletar,10
2015,Males,70 - 74,Yishun- Total,Nee Soon,20
2015,Males,70 - 74,Yishun- Total,Northland,280
2015,Males,70 - 74,Yishun- Total,Springleaf,70
2015,Males,70 - 74,Yishun- Total,Yishun Central,30
2015,Males,70 - 74,Yishun- Total,Yishun East,410
2015,Males,70 - 74,Yishun- Total,Yishun South,440
2015,Males,70 - 74,Yishun- Total,Yishun West,720
2015,Males,75 - 79,Ang Mo Kio- Total,Ang Mo Kio Town Centre,50
2015,Males,75 - 79,Ang Mo Kio- Total,Cheng San,370
2015,Males,75 - 79,Ang Mo Kio- Total,Chong Boon,420
2015,Males,75 - 79,Ang Mo Kio- Total,Kebun Bahru,380
2015,Males,75 - 79,Ang Mo Kio- Total,Sembawang Hills,80
2015,Males,75 - 79,Ang Mo Kio- Total,Shangri-La,250
2015,Males,75 - 79,Ang Mo Kio- Total,Tagore,110
2015,Males,75 - 79,Ang Mo Kio- Total,Townsville,360
2015,Males,75 - 79,Ang Mo Kio- Total,Yio Chu Kang East,50
2015,Males,75 - 79,Ang Mo Kio- Total,Yio Chu Kang West,280
2015,Males,75 - 79,Bedok- Total,Bayshore,50
2015,Males,75 - 79,Bedok- Total,Bedok North,1000
2015,Males,75 - 79,Bedok- Total,Bedok Reservoir,190
2015,Males,75 - 79,Bedok- Total,Bedok South,700
